
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Cataluña;1,105,31;1,053,00;198.00;17.84;4.42;0.63;2,155,70;1,073,00;177.00;23.52;6.23;0.30;
   Comunidad Valenciana;799.71;1,371,00;129.00;30.51;7.79;3.46;1,557,20;1,294,00;121.00;35.11;8.04;2.42;
   Madrid (Comunidad de);992.86;1,697,00;325.00;36.90;6.13;13.10;2,154,57;1,804,00;262.00;35.48;10.30;8.40;
   Resto CCAA;436.15;986.00;147.00;11.40;8.37;7.08;933.41;1,042,00;132.00;8.17;4.36;4.31;
2024M01;;;;;;;;;;;;;
   TOTAL;6,549,60;1,374,00;158.00;25.54;8.87;5.95;6,549,60;1,374,00;158.00;25.54;8.87;5.95;
   Andalucia;901.82;1,353,00;142.00;33.68;13.88;14.20;901.82;1,353,00;142.00;33.68;13.88;14.20;
   Illes Balears;174.14;1,250,00;136.00;20.79;10.84;5.90;174.14;1,250,00;136.00;20.79;10.84;5.90;
   Canarias;2,006,79;1,519,00;177.00;17.03;7.13;8.40;2,006,79;1,519,00;177.00;17.03;7.13;8.40;
   Cataluña;1,050,38;1,096,00;159.00;30.12;8.19;1.06;1,050,38;1,096,00;159.00;30.12;8.19;1.06;
   Comunidad Valenciana;757.49;1,222,00;113.00;40.34;8.74;1.88;757.49;1,222,00;113.00;40.34;8.74;1.88;
   Madrid (Comunidad de);1,161,71;1,907,00;225.00;34.30;14.35;5.38;1,161,71;1,907,00;225.00;34.30;14.35;5.38;
   Resto CCAA;497.27;1,096,00;121.00;5.48;0.95;1.95;497.27;1,096,00;121.00;5.48;0.95;1.95;
2023M12;;;;;;;;;;;;;
   TOTAL;7,090,50;1,361,00;149.00;35.35;7.24;2.28;108,789,41;1,277,00;177.00;24.85;5.04;9.15;
   Andalucia;882.21;1,412,00;125.00;23.70;5.68;3.84;15,314,99;1,256,00;154.00;27.74;4.89;12.29;
   Illes Balears;214.83;1,297,00;139.00;48.43;17.26;4.30;17,692,25;1,227,00;189.00;16.23;6.40;9.09;
   Canarias;2,095,73;1,525,00;169.00;24.97;10.92;0.37;20,332,53;1,457,00;172.00;16.50;2.95;5.75;
   Cataluña;1,228,66;1,204,00;171.00;39.32;11.19;10.17;21,248,17;1,169,00;209.00;28.94;5.32;11.43;
   Comunidad Valenciana;831.59;1,167,00;104.00;40.33;1.20;5.52;12,511,93;1,195,00;127.00;23.84;1.87;6.90;
   Madrid (Comunidad de);1,062,79;1,754,00;223.00;39.09;1.16;-9.38;13,329,68;1,699,00;293.00;38.42;6.70;4.18;
   Resto CCAA;774.69;1,097,00;118.00;66.51;11.87;5.00;8,359,86;1,032,00;145.00;33.50;8.79;10.20;
2023M11;;;;;;;;;;;;;
   TOTAL;6,644,47;1,294,00;174.00;23.46;4.21;4.56;101,698,91;1,272,00;179.00;24.18;4.88;9.79;
   Andalucia;920.55;1,287,00;156.00;22.75;1.59;10.07;14,432,78;1,248,00;156.00;27.99;4.87;12.90;
   Illes Balears;266.43;1,247,00;140.00;41.27;9.31;0.39;17,477,42;1,226,00;190.00;15.92;6.28;9.26;
   Canarias;1,944,53;1,459,00;176.00;16.51;3.62;5.91;18,236,80;1,450,00;173.00;15.60;2.11;6.35;
   Cataluña;1,270,35;1,109,00;193.00;29.72;8.38;0.66;20,019,51;1,166,00;212.00;28.36;4.99;11.64;
   Comunidad Valenciana;734.18;1,124,00;121.00;21.72;-3.31;0.45;11,680,34;1,197,00;129.00;22.81;1.94;7.21;
   Madrid (Comunidad de);1,069,90;1,588,00;283.00;30.25;4.56;1.65;12,266,89;1,694,00;301.00;38.36;7.16;5.77;
   Resto CCAA;438.52;1,094,00;151.00;18.33;10.65;5.52;7,585,17;1,026,00;148.00;30.85;8.42;11.28;
2023M10;;;;;;;;;;;;;
   TOTAL;10,302,07;1,258,00;185.00;23.95;8.66;10.56;95,054,44;1,270,00;180.00;24.23;4.92;10.17;
   Andalucia;1,499,58;1,212,00;166.00;21.16;2.63;9.17;13,512,23;1,245,00;156.00;28.36;5.10;13.10;
   Illes Balears;1,744,19;1,181,00;178.00;17.03;7.19;9.97;17,210,98;1,225,00;191.00;15.60;6.24;9.53;
   Canarias;1,752,21;1,380,00;176.00;12.81;5.26;5.09;16,292,27;1,449,00;172.00;15.49;1.93;6.40;
   Cataluña;1,907,70;1,142,00;224.00;26.89;12.83;17.88;18,749,16;1,171,00;214.00;28.27;4.75;12.46;
   Comunidad Valenciana;1,209,30;1,170,00;134.00;35.90;13.86;13.01;10,946,16;1,202,00;129.00;22.88;2.31;7.70;
   Madrid (Comunidad de);1,440,92;1,751,00;304.00;35.52;13.40;4.38;11,196,99;1,705,00;303.00;39.19;7.40;6.17;
   Resto CCAA;748.17;1,104,00;164.00;30.50;6.45;12.48;7,146,65;1,022,00;148.00;31.71;8.32;11.68;
2023M09;;;;;;;;;;;;;
   TOTAL;11,193,59;1,273,00;188.00;22.37;8.06;10.11;84,752,38;1,272,00;179.00;24.26;4.46;10.12;
   Andalucia;1,625,73;1,250,00;169.00;34.53;13.86;7.87;12,012,65;1,250,00;154.00;29.32;5.42;13.65;
   Illes Balears;2,508,48;1,217,00;193.00;19.37;9.86;10.09;15,466,80;1,231,00;192.00;15.44;6.14;9.49;
   Canarias;1,447,14;1,410,00;182.00;12.83;2.12;6.74;14,540,06;1,458,00;172.00;15.83;1.47;6.57;
   Cataluña;2,132,76;1,173,00;222.00;15.21;4.05;10.89;16,841,46;1,174,00;213.00;28.42;3.80;11.88;
   Comunidad Valenciana;1,308,01;1,255,00;123.00;21.14;8.99;7.20;9,736,86;1,206,00;129.00;21.44;1.03;7.08;
   Madrid (Comunidad de);1,281,92;1,666,00;334.00;38.37;8.36;7.31;9,756,08;1,699,00;303.00;39.75;6.52;6.45;
   Resto CCAA;889.56;1,145,00;179.00;27.45;7.94;22.90;6,398,48;1,013,00;146.00;31.85;8.53;11.61;
2023M08;;;;;;;;;;;;;
   TOTAL;13,599,39;1,335,00;173.00;20.54;4.71;6.20;73,558,79;1,272,00;178.00;24.55;3.90;10.14;
   Andalucia;1,975,34;1,347,00;156.00;16.72;3.15;8.88;10,386,92;1,250,00;152.00;28.54;4.15;14.36;
