
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Resto CCAA;829.40;897.00;122.00;102.03;22.14;35.79;4,154,82;915.00;129.00;213.58;20.45;24.65;
2022M07;;;;;;;;;;;;;
   TOTAL;11,902,10;1,309,00;169.00;127.60;10.13;17.12;47,776,70;1,212,00;161.00;332.74;7.87;15.03;
   Andalucia;1,484,99;1,323,00;137.00;124.69;11.11;18.09;6,388,03;1,175,00;131.00;373.78;7.14;16.19;
   Illes Balears;2,810,24;1,236,00;186.00;71.98;-0.13;2.66;8,631,99;1,155,00;174.00;189.15;-0.33;6.69;
   Canarias;1,611,95;1,567,00;183.00;156.30;3.18;10.60;9,697,78;1,432,00;158.00;481.49;0.24;8.21;
   Cataluña;2,595,56;1,301,00;202.00;196.33;21.11;24.35;8,847,27;1,099,00;190.00;401.69;11.54;19.02;
   Comunidad Valenciana;1,470,48;1,305,00;123.00;103.80;9.80;23.28;5,554,46;1,176,00;121.00;293.00;1.25;18.33;
   Madrid (Comunidad de);1,095,31;1,748,00;269.00;228.62;14.91;26.56;5,331,75;1,602,00;279.00;462.49;10.99;20.68;
   Resto CCAA;833.58;909.00;125.00;122.40;13.36;15.38;3,325,42;920.00;131.00;263.66;19.18;17.83;
2022M06;;;;;;;;;;;;;
   TOTAL;9,025,67;1,204,00;174.00;272.70;10.17;18.21;35,874,60;1,183,00;158.00;517.35;10.45;16.44;
   Andalucia;1,178,11;1,167,00;145.00;287.20;13.56;19.81;4,903,05;1,136,00;129.00;613.28;11.52;17.91;
   Illes Balears;2,178,80;1,112,00;180.00;195.10;-1.15;14.02;5,821,75;1,120,00;169.00;330.85;4.05;16.02;
   Canarias;1,163,27;1,292,00;165.00;305.50;-0.35;11.52;8,085,83;1,407,00;153.00;678.37;2.09;12.98;
   Cataluña;1,857,49;1,139,00;206.00;379.24;18.80;19.88;6,251,70;1,032,00;185.00;604.36;13.33;18.19;
   Comunidad Valenciana;1,079,41;1,268,00;129.00;257.05;13.80;14.24;4,083,98;1,136,00;121.00;490.32;0.06;14.08;
   Madrid (Comunidad de);1,024,37;1,691,00;291.00;388.62;12.17;20.58;4,236,45;1,568,00;281.00;589.33;11.65;16.18;
   Resto CCAA;544.23;1,006,00;148.00;182.46;19.07;16.39;2,491,83;923.00;133.00;361.78;22.78;17.51;
2022M05;;;;;;;;;;;;;
   TOTAL;8,046,91;1,151,00;176.00;476.52;12.46;25.37;26,848,93;1,177,00;154.00;692.16;11.34;19.13;
   Andalucia;1,148,96;1,105,00;144.00;604.28;12.53;28.95;3,724,94;1,127,00;125.00;872.24;11.36;22.44;
   Illes Balears;1,818,45;1,115,00;188.00;360.62;7.59;31.24;3,642,96;1,124,00;162.00;494.38;9.96;22.47;
   Canarias;1,227,36;1,389,00;156.00;448.47;0.18;12.27;6,922,57;1,429,00;152.00;820.62;1.13;15.18;
   Cataluña;1,486,37;1,008,00;202.00;604.44;19.95;26.05;4,394,21;993.00;178.00;778.87;13.23;21.11;
   Comunidad Valenciana;805.66;1,015,00;131.00;421.50;-6.94;11.97;3,004,58;1,095,00;118.00;671.37;-4.95;16.77;
   Madrid (Comunidad de);948.76;1,662,00;309.00;668.70;16.71;12.63;3,212,07;1,533,00;278.00;693.25;12.99;14.79;
   Resto CCAA;611.35;1,028,00;174.00;388.42;43.95;39.44;1,947,60;903.00;129.00;461.37;27.34;21.20;
2022M04;;;;;;;;;;;;;
   TOTAL;6,910,11;1,132,00;155.00;933.80;6.52;18.41;18,802,02;1,188,00;146.00;843.14;9.86;19.44;
   Andalucia;975.50;1,074,00;127.00;1,032,58;3.53;19.72;2,575,98;1,137,00;118.00;1,070,95;9.81;22.89;
   Illes Balears;1,206,73;1,128,00;147.00;860.57;11.86;16.83;1,824,51;1,133,00;143.00;736.47;13.60;22.14;
   Canarias;1,480,99;1,334,00;154.00;940.90;2.61;26.34;5,695,20;1,438,00;151.00;978.30;0.94;17.08;
   Cataluña;1,146,59;991.00;194.00;1,190,54;4.34;6.14;2,907,84;986.00;167.00;906.23;8.79;21.17;
   Comunidad Valenciana;799.20;1,018,00;117.00;1,024,92;2.43;24.28;2,198,92;1,127,00;114.00;835.62;-5.73;22.61;
   Madrid (Comunidad de);832.50;1,524,00;303.00;859.73;14.74;24.71;2,263,31;1,484,00;267.00;704.02;11.69;15.82;
   Resto CCAA;468.59;885.00;132.00;591.69;6.85;2.67;1,336,26;855.00;116.00;502.54;21.12;17.28;
2022M03;;;;;;;;;;;;;
   TOTAL;5,077,45;1,257,00;157.00;833.54;13.57;20.50;11,891,91;1,223,00;141.00;797.41;12.12;19.38;
   Andalucia;750.29;1,230,00;123.00;1,377,39;23.65;36.06;1,600,48;1,178,00;113.00;1,095,64;14.02;24.99;
   Illes Balears;365.53;1,191,00;154.00;480.05;24.06;38.32;617.78;1,144,00;137.00;567.90;16.35;27.27;
   Canarias;1,678,68;1,494,00;156.00;1,041,72;2.17;22.25;4,214,21;1,478,00;149.00;992.09;0.13;13.83;
   Cataluña;737.13;1,040,00;192.00;975.83;29.94;38.53;1,761,25;982.00;154.00;780.02;10.62;23.32;
   Comunidad Valenciana;602.55;1,226,00;123.00;766.66;-17.21;7.03;1,399,72;1,201,00;113.00;753.60;-8.42;21.55;
   Madrid (Comunidad de);642.18;1,435,00;283.00;585.37;6.16;17.68;1,430,81;1,462,00;250.00;634.66;10.00;10.79;
   Resto CCAA;301.09;857.00;146.00;486.75;20.72;13.78;867.66;839.00;109.00;463.33;26.66;21.25;
2022M02;;;;;;;;;;;;;
   TOTAL;3,774,69;1,187,00;137.00;1,065,68;4.49;15.65;6,814,46;1,200,00;131.00;772.25;11.01;18.16;
   Andalucia;473.72;1,114,00;114.00;1,304,24;-5.14;14.40;850.19;1,136,00;106.00;923.40;7.33;16.59;
   Illes Balears;150.93;1,009,00;127.00;1,012,98;-1.90;22.72;252.25;1,083,00;119.00;755.72;4.28;17.24;
   Canarias;1,405,53;1,452,00;143.00;1,234,45;2.41;8.06;2,535,53;1,468,00;146.00;961.54;-1.16;8.77;
   Cataluña;586.55;947.00;149.00;972.42;-5.85;5.56;1,024,12;945.00;135.00;678.08;0.32;13.50;
   Comunidad Valenciana;474.05;1,205,00;117.00;1,089,99;-14.84;20.26;797.17;1,182,00;106.00;743.99;-2.21;30.61;
   Madrid (Comunidad de);402.27;1,422,00;232.00;857.65;6.95;16.28;788.63;1,485,00;227.00;680.37;13.45;7.02;
   Resto CCAA;281.63;825.00;105.00;712.56;30.22;40.26;566.57;830.00;96.00;451.62;29.45;22.82;
2022M01;;;;;;;;;;;;;
   TOTAL;3,039,78;1,215,00;124.00;564.53;16.35;17.12;3,039,78;1,215,00;124.00;564.53;16.35;17.12;
   Andalucia;376.47;1,164,00;97.00;663.01;17.44;13.32;376.47;1,164,00;97.00;663.01;17.44;13.32;
   Illes Balears;101.31;1,218,00;108.00;536.53;16.20;8.68;101.31;1,218,00;108.00;536.53;16.20;8.68;
   Canarias;1,130,00;1,487,00;149.00;746.27;-3.56;10.35;1,130,00;1,487,00;149.00;746.27;-3.56;10.35;
   Cataluña;437.57;941.00;119.00;468.82;4.48;11.71;437.57;941.00;119.00;468.82;4.48;11.71;
   Comunidad Valenciana;323.12;1,150,00;94.00;491.62;5.26;28.67;323.12;1,150,00;94.00;491.62;5.26;28.67;
   Madrid (Comunidad de);386.36;1,558,00;223.00;554.27;20.27;0.01;386.36;1,558,00;223.00;554.27;20.27;0.01;
   Resto CCAA;284.94;836.00;88.00;318.72;29.45;10.69;284.94;836.00;88.00;318.72;29.45;10.69;
2021M12;;;;;;;;;;;;;
   TOTAL;3,536,59;1,200,00;126.00;407.54;11.75;14.81;34,903,37;1,119,00;137.00;76.40;7.11;2.78;
   Andalucia;440.48;1,326,00;97.00;444.50;-0.70;11.19;4,768,27;1,122,00;114.00;65.85;5.43;1.17;
   Illes Balears;127.04;1,108,00;119.00;402.28;-3.15;5.91;7,278,84;1,151,00;159.00;295.84;7.72;14.12;
   Canarias;1,243,91;1,378,00;154.00;370.85;7.97;11.18;7,186,85;1,367,00;152.00;49.01;7.31;1.57;
   Cataluña;545.80;978.00;132.00;542.03;12.10;14.64;5,523,36;954.00;154.00;51.19;1.10;-3.38;
   Comunidad Valenciana;401.81;1,053,00;93.00;438.74;1.52;17.28;4,372,35;1,088,00;97.00;76.98;11.95;2.55;
   Madrid (Comunidad de);444.50;1,518,00;217.00;566.43;9.06;25.31;3,112,63;1,430,00;239.00;34.60;6.24;2.74;
   Resto CCAA;333.04;912.00;86.00;232.59;29.31;4.97;2,661,08;791.00;104.00;46.74;13.09;5.00;
2021M11;;;;;;;;;;;;;
   TOTAL;3,761,50;1,119,00;142.00;680.43;6.04;14.26;31,366,78;1,111,00;139.00;64.31;6.41;3.00;
   Andalucia;543.39;1,117,00;113.00;796.39;-9.36;10.82;4,327,79;1,105,00;116.00;54.88;4.41;2.11;
   Illes Balears;164.01;1,105,00;132.00;626.91;-1.54;17.96;7,151,80;1,152,00;160.00;294.35;7.89;14.43;
   Canarias;1,362,22;1,344,00;152.00;587.27;8.97;5.87;5,942,93;1,364,00;152.00;30.36;7.14;0.83;
   Cataluña;533.64;866.00;151.00;1,107,48;15.32;26.54;4,977,55;952.00;157.00;39.50;0.64;-2.51;
   Comunidad Valenciana;410.17;1,067,00;109.00;718.65;14.77;20.09;3,970,54;1,091,00;98.00;65.72;12.55;2.42;
   Madrid (Comunidad de);489.64;1,304,00;246.00;771.52;5.23;16.60;2,668,13;1,416,00;242.00;18.80;5.32;3.38;
   Resto CCAA;258.43;765.00;121.00;415.71;4.99;22.19;2,328,04;776.00;107.00;35.88;11.04;6.98;
2021M10;;;;;;;;;;;;;
   TOTAL;5,606,29;1,089,00;140.00;548.51;28.57;31.54;27,605,29;1,110,00;138.00;48.35;6.34;2.45;
   Andalucia;864.89;1,064,00;120.00;472.16;1.06;15.26;3,784,40;1,103,00;117.00;38.44;4.58;2.29;
   Illes Balears;1,115,50;1,104,00;155.00;1,244,99;12.03;44.51;6,987,79;1,153,00;161.00;290.16;8.06;14.64;
   Canarias;1,254,18;1,261,00;151.00;693.82;9.31;12.23;4,580,72;1,370,00;152.00;5.04;7.46;0.56;
   Cataluña;760.86;876.00;159.00;456.10;47.87;47.39;4,443,92;963.00;158.00;26.11;1.52;-2.44;
   Comunidad Valenciana;684.93;1,068,00;97.00;337.48;20.92;14.26;3,560,37;1,094,00;97.00;51.78;12.73;1.14;
   Madrid (Comunidad de);540.05;1,489,00;256.00;781.56;-3.66;-6.60;2,178,49;1,444,00;242.00;-0.51;7.17;2.71;
   Resto CCAA;385.88;843.00;112.00;227.71;48.99;33.00;2,069,61;778.00;106.00;24.44;11.38;5.46;
2021M09;;;;;;;;;;;;;
   TOTAL;5,051,20;1,074,00;138.00;423.72;26.80;28.80;21,998,99;1,115,00;138.00;23.98;5.65;0.85;
   Andalucia;720.90;1,048,00;117.00;339.25;14.47;19.25;2,919,51;1,116,00;116.00;13.05;5.73;0.94;
   Illes Balears;1,306,69;1,119,00;156.00;974.40;9.62;21.08;5,872,29;1,163,00;162.00;243.80;8.55;13.74;
   Canarias;841.05;1,376,00;157.00;587.79;4.14;8.94;3,326,54;1,417,00;152.00;-20.85;10.64;0.34;
   Cataluña;792.90;903.00;161.00;324.05;32.94;46.65;3,683,05;984.00;158.00;8.74;1.14;-4.56;
   Comunidad Valenciana;659.41;1,027,00;93.00;306.89;17.36;21.94;2,875,44;1,101,00;97.00;31.34;12.60;0.15;
   Madrid (Comunidad de);371.47;1,439,00;248.00;477.08;7.46;17.53;1,638,44;1,430,00;237.00;-23.02;6.50;1.25;
   Resto CCAA;358.77;781.00;110.00;150.79;30.78;8.92;1,683,73;764.00;105.00;8.95;7.48;2.65;
2021M08;;;;;;;;;;;;;
   TOTAL;5,907,30;1,137,00;135.00;140.44;12.94;15.10;16,947,80;1,128,00;138.00;1.01;5.37;-0.70;
   Andalucia;850.30;1,216,00;119.00;119.96;14.48;5.21;2,198,61;1,140,00;115.00;-9.09;6.89;-0.68;
   Illes Balears;1,580,31;1,209,00;167.00;198.13;3.44;11.32;4,565,60;1,176,00;164.00;187.79;9.36;14.10;
   Canarias;817.74;1,437,00;163.00;139.89;1.43;3.33;2,485,49;1,431,00;151.00;-39.09;11.87;-0.73;
   Cataluña;1,126,66;1,046,00;152.00;158.96;10.23;8.85;2,890,15;1,008,00;157.00;-9.69;1.05;-7.87;
   Comunidad Valenciana;802.68;1,064,00;90.00;96.79;12.18;13.18;2,216,03;1,125,00;98.00;9.32;13.97;-0.80;
   Madrid (Comunidad de);319.09;1,381,00;245.00;288.22;2.13;-3.12;1,266,96;1,427,00;234.00;-38.62;6.30;-0.37;
   Resto CCAA;410.53;734.00;90.00;49.73;16.22;8.19;1,324,95;760.00;103.00;-5.52;4.78;1.29;
2021M07;;;;;;;;;;;;;
   TOTAL;5,229,47;1,189,00;145.00;112.76;19.21;16.39;11,040,49;1,124,00;140.00;-22.91;3.81;-2.63;
   Andalucia;660.92;1,191,00;116.00;87.94;21.80;5.60;1,348,31;1,096,00;113.00;-33.64;2.74;-3.15;
   Illes Balears;1,634,07;1,238,00;181.00;155.53;13.90;27.07;2,985,29;1,159,00;163.00;182.60;12.12;15.42;
   Canarias;628.93;1,518,00;166.00;127.86;18.59;21.66;1,667,75;1,428,00;146.00;-55.40;12.63;-3.84;
   Cataluña;875.91;1,074,00;163.00;104.65;9.63;15.60;1,763,49;985.00;160.00;-36.22;-2.05;-9.32;
   Comunidad Valenciana;721.52;1,188,00;99.00;89.73;19.70;4.49;1,413,35;1,162,00;103.00;-12.72;16.56;-2.09;
   Madrid (Comunidad de);333.30;1,521,00;213.00;192.27;1.72;-8.51;947.88;1,443,00;231.00;-52.17;7.54;-1.51;
   Resto CCAA;374.81;802.00;108.00;39.62;20.86;2.86;914.43;772.00;111.00;-18.95;2.62;2.62;
2021M06;;;;;;;;;;;;;
   TOTAL;2,421,69;1,093,00;147.00;1,708,65;66.70;34.94;5,811,02;1,072,00;136.00;-51.02;-2.80;-8.43;
   Andalucia;304.27;1,027,00;121.00;2,964,94;44.87;-0.54;687.40;1,019,00;110.00;-59.09;-6.37;-7.00;
   Illes Balears;738.32;1,125,00;158.00;2,570,62;15.56;26.81;1,351,22;1,076,00;145.00;224.13;11.90;4.46;
   Canarias;286.87;1,296,00;148.00;7,440,55;-3.72;9.59;1,038,82;1,379,00;136.00;-70.01;8.81;-11.21;
   Cataluña;387.59;959.00;172.00;897.49;89.41;64.54;887.57;911.00;157.00;-62.02;-9.88;-15.02;
   Comunidad Valenciana;302.31;1,115,00;113.00;1,557,65;91.81;56.66;691.83;1,135,00;106.00;-44.16;13.77;-1.93;
   Madrid (Comunidad de);209.65;1,507,00;241.00;1,263,30;98.20;92.34;614.57;1,404,00;242.00;-67.10;5.29;3.17;
   Resto CCAA;192.68;845.00;127.00;861.24;29.24;-6.18;539.62;752.00;113.00;-37.24;-4.16;3.64;
2021M05;;;;;;;;;;;;;
   TOTAL;1,395,78;1,024,00;141.00;,;,;,;3,389,33;1,057,00;129.00;-71.11;-4.87;-13.47;
   Andalucia;163.14;982.00;111.00;,;,;,;383.13;1,012,00;102.00;-77.06;-7.30;-13.36;
   Illes Balears;394.78;1,037,00;143.00;,;,;,;612.90;1,022,00;133.00;57.46;6.40;-5.43;
   Canarias;223.78;1,387,00;139.00;,;,;,;751.94;1,413,00;132.00;-78.27;11.53;-13.94;
   Cataluña;211.00;840.00;161.00;,;,;,;499.98;877.00;147.00;-78.24;-14.69;-21.51;
   Comunidad Valenciana;154.49;1,091,00;117.00;,;,;,;389.51;1,152,00;101.00;-68.09;14.20;-6.93;
   Madrid (Comunidad de);123.42;1,424,00;274.00;,;,;,;404.93;1,356,00;242.00;-78.14;1.06;2.55;
   Resto CCAA;125.17;714.00;124.00;,;,;,;346.94;709.00;107.00;-58.68;-10.10;-1.78;
2021M04;;;;;;;;;;;;;
   TOTAL;668.42;1,062,00;131.00;,;,;,;1,993,56;1,081,00;122.00;-83.01;-2.68;-18.15;
   Andalucia;86.13;1,038,00;106.00;,;,;,;219.99;1,035,00;96.00;-86.83;-5.16;-18.37;
   Illes Balears;125.63;1,008,00;126.00;,;,;,;218.12;998.00;117.00;-43.96;3.82;-16.37;
   Canarias;142.28;1,300,00;122.00;,;,;,;528.17;1,424,00;129.00;-84.73;12.43;-15.88;
   Cataluña;88.85;950.00;183.00;,;,;,;288.98;906.00;138.00;-87.43;-11.86;-26.14;
   Comunidad Valenciana;71.04;994.00;94.00;,;,;,;235.02;1,196,00;93.00;-80.75;18.54;-14.30;
   Madrid (Comunidad de);86.74;1,328,00;243.00;,;,;,;281.50;1,329,00;230.00;-84.80;-0.99;-2.41;
   Resto CCAA;67.75;828.00;128.00;,;,;,;221.77;706.00;99.00;-73.59;-10.47;-9.07;
2021M03;;;;;;;;;;;;;
   TOTAL;543.89;1,107,00;131.00;-74.98;1.69;-15.08;1,325,14;1,091,00;118.00;-88.70;-1.79;-20.86;
   Andalucia;50.78;995.00;91.00;-84.75;-10.85;-27.76;133.86;1,033,00;91.00;-91.99;-5.32;-23.07;
   Illes Balears;63.02;960.00;111.00;-39.85;6.06;-30.30;92.50;984.00;108.00;-76.24;2.38;-23.20;
   Canarias;147.03;1,463,00;127.00;-75.83;10.48;-14.26;385.89;1,476,00;131.00;-88.85;16.53;-14.17;
   Cataluña;68.52;800.00;138.00;-82.82;-19.90;-27.71;200.14;888.00;125.00;-91.29;-13.63;-33.35;
   Comunidad Valenciana;69.53;1,481,00;115.00;-71.61;50.29;8.16;163.98;1,311,00;93.00;-86.57;29.98;-14.61;
   Madrid (Comunidad de);93.70;1,352,00;241.00;-70.81;5.39;-18.59;194.76;1,329,00;225.00;-89.49;-0.96;-4.64;
   Resto CCAA;51.31;710.00;129.00;-68.52;-1.76;0.65;154.02;663.00;90.00;-81.66;-15.94;-17.42;
2021M02;;;;;;;;;;;;;
   TOTAL;323.82;1,136,00;118.00;-93.24;5.04;-22.01;781.25;1,081,00;111.00;-91.83;-3.20;-25.28;
   Andalucia;33.73;1,175,00;100.00;-94.93;10.61;-20.20;83.07;1,058,00;91.00;-93.79;-2.50;-21.92;
   Illes Balears;13.56;1,028,00;104.00;-92.35;7.58;-24.63;29.48;1,039,00;101.00;-89.64;5.68;-24.71;
   Canarias;105.33;1,418,00;132.00;-92.63;16.07;-15.07;238.85;1,485,00;134.00;-91.62;18.28;-13.09;
   Cataluña;54.69;1,006,00;142.00;-94.50;-2.12;-23.03;131.62;942.00;119.00;-93.07;-8.97;-36.31;
   Comunidad Valenciana;39.84;1,415,00;98.00;-92.47;41.33;-13.71;94.45;1,209,00;81.00;-90.32;19.15;-25.61;
   Madrid (Comunidad de);42.01;1,329,00;200.00;-93.63;4.52;-18.32;101.06;1,309,00;212.00;-93.40;-3.40;-6.24;
   Resto CCAA;34.66;634.00;75.00;-89.63;-18.21;-33.74;102.71;641.00;78.00;-84.82;-20.42;-25.67;
2021M01;;;;;;;;;;;;;
   TOTAL;457.43;1,044,00;106.00;-90.40;-9.45;-26.86;457.43;1,044,00;106.00;-90.40;-9.45;-26.86;
   Andalucia;49.34;991.00;85.00;-92.65;-10.67;-21.31;49.34;991.00;85.00;-92.65;-10.67;-21.31;
   Illes Balears;15.92;1,048,00;99.00;-85.14;1.56;-23.41;15.92;1,048,00;99.00;-85.14;1.56;-23.41;
   Canarias;133.53;1,542,00;135.00;-90.61;19.45;-11.30;133.53;1,542,00;135.00;-90.61;19.45;-11.30;
   Cataluña;76.93;900.00;106.00;-91.51;-13.52;-43.66;76.93;900.00;106.00;-91.51;-13.52;-43.66;
   Comunidad Valenciana;54.62;1,093,00;73.00;-87.77;6.00;-31.11;54.62;1,093,00;73.00;-87.77;6.00;-31.11;
   Madrid (Comunidad de);59.05;1,295,00;223.00;-93.23;-9.18;3.68;59.05;1,295,00;223.00;-93.23;-9.18;3.68;
   Resto CCAA;68.05;645.00;80.00;-80.14;-23.08;-18.82;68.05;645.00;80.00;-80.14;-23.08;-18.82;
2020M12;;;;;;;;;;;;;
   TOTAL;696.81;1,074,00;110.00;-86.09;-7.76;-26.40;19,786,78;1,045,00;134.00;-78.47;-5.05;-13.59;
   Andalucia;80.90;1,335,00;87.00;-87.90;11.36;-24.53;2,875,13;1,065,00;113.00;-76.84;3.12;-9.27;
   Illes Balears;25.29;1,145,00;112.00;-82.28;0.12;-18.73;1,838,85;1,068,00;140.00;-87.61;-1.54;-13.82;
   Canarias;264.19;1,276,00;139.00;-82.27;2.82;-8.58;4,823,21;1,274,00;150.00;-71.38;-0.66;-0.15;
   Cataluña;85.01;872.00;116.00;-92.14;-19.89;-40.21;3,653,18;944.00;160.00;-82.86;-14.21;-19.12;
   Comunidad Valenciana;74.58;1,038,00;79.00;-84.39;-1.31;-21.22;2,470,48;972.00;95.00;-74.14;-3.02;-12.12;
   Madrid (Comunidad de);66.70;1,392,00;174.00;-91.62;-7.55;-36.61;2,312,51;1,346,00;232.00;-77.88;-1.63;-14.23;
   Resto CCAA;100.14;705.00;82.00;-71.73;-11.42;-14.86;1,813,42;699.00;99.00;-72.00;-12.43;-15.41;
2020M11;;;;;;;;;;;;;
   TOTAL;481.98;1,055,00;124.00;-90.48;-2.99;-22.92;19,089,98;1,044,00;135.00;-78.03;-4.84;-13.08;
   Andalucia;60.62;1,233,00;102.00;-90.99;12.50;-21.01;2,794,23;1,058,00;114.00;-76.21;3.33;-8.88;
   Illes Balears;22.56;1,122,00;112.00;-88.01;8.96;-11.78;1,813,56;1,067,00;140.00;-87.66;-1.58;-13.67;
   Canarias;198.21;1,234,00;144.00;-86.63;-2.40;-8.33;4,559,03;1,273,00;151.00;-70.33;-0.99;0.42;
   Cataluña;44.19;751.00;119.00;-95.44;-18.93;-40.63;3,568,16;946.00;161.00;-82.37;-14.10;-18.47;
   Comunidad Valenciana;50.10;930.00;90.00;-90.33;-2.91;-28.04;2,395,90;970.00;95.00;-73.60;-2.97;-11.92;
   Madrid (Comunidad de);56.18;1,239,00;211.00;-93.49;-4.40;-20.26;2,245,81;1,344,00;235.00;-76.75;-0.99;-13.29;
   Resto CCAA;50.11;728.00;99.00;-86.34;-14.53;-19.75;1,713,28;699.00;100.00;-72.01;-12.49;-15.44;
2020M10;;;;;;;;;;;;;
   TOTAL;864.49;847.00;106.00;-89.61;-22.79;-34.00;18,608,00;1,044,00;135.00;-77.26;-4.92;-12.68;
   Andalucia;151.16;1,053,00;104.00;-88.09;-1.21;-21.79;2,733,61;1,055,00;114.00;-75.31;3.41;-8.47;
   Illes Balears;82.94;985.00;107.00;-93.61;-7.00;-29.53;1,791,00;1,067,00;141.00;-87.66;-1.71;-13.71;
   Canarias;157.99;1,154,00;135.00;-88.93;-7.51;-9.94;4,360,82;1,275,00;151.00;-68.58;-1.03;1.11;
   Cataluña;136.82;592.00;108.00;-92.68;-46.84;-51.13;3,523,97;949.00;162.00;-81.71;-14.63;-18.04;
   Comunidad Valenciana;156.56;883.00;85.00;-81.29;-8.20;-23.45;2,345,80;971.00;96.00;-72.59;-3.14;-11.08;
   Madrid (Comunidad de);61.26;1,546,00;274.00;-93.90;14.12;-9.50;2,189,63;1,347,00;235.00;-75.10;-1.24;-13.22;
   Resto CCAA;117.75;566.00;84.00;-81.00;-32.44;-35.31;1,663,17;698.00;100.00;-71.10;-12.25;-15.20;
2020M09;;;;;;;;;;;;;
   TOTAL;964.49;847.00;107.00;-89.97;-22.11;-29.88;17,743,51;1,056,00;137.00;-75.86;-3.84;-11.12;
   Andalucia;164.12;916.00;99.00;-87.92;-7.28;-26.17;2,582,45;1,055,00;115.00;-73.65;4.00;-7.21;
   Illes Balears;121.62;1,021,00;129.00;-94.28;-3.74;-21.06;1,708,06;1,071,00;143.00;-87.08;-1.55;-12.98;
   Canarias;122.28;1,321,00;144.00;-90.00;2.83;-4.06;4,202,83;1,280,00;152.00;-66.25;-1.01;1.57;
   Cataluña;186.98;679.00;110.00;-91.79;-39.99;-41.48;3,387,15;972.00;165.00;-80.53;-12.48;-15.40;
   Comunidad Valenciana;162.06;875.00;76.00;-83.96;-12.32;-24.11;2,189,23;977.00;96.00;-71.64;-2.89;-9.98;
   Madrid (Comunidad de);64.37;1,339,00;211.00;-93.18;-5.32;-21.80;2,128,37;1,342,00;234.00;-72.68;-1.69;-12.39;
   Resto CCAA;143.06;597.00;101.00;-78.83;-27.54;-10.98;1,545,42;711.00;102.00;-69.90;-10.12;-13.01;
2020M08;;;;;;;;;;;;;
   TOTAL;2,456,85;1,007,00;117.00;-79.01;-12.99;-20.15;16,779,01;1,071,00;139.00;-73.74;-2.60;-9.80;
   Andalucia;386.57;1,062,00;113.00;-74.91;-3.19;-10.72;2,418,33;1,066,00;116.00;-71.36;4.62;-5.04;
   Illes Balears;530.07;1,168,00;150.00;-81.05;-5.72;-10.70;1,586,44;1,075,00;144.00;-85.69;-1.66;-12.33;
   Canarias;340.89;1,416,00;158.00;-77.18;-1.37;-0.64;4,080,55;1,279,00;152.00;-63.67;-1.17;1.77;
   Cataluña;435.07;949.00;140.00;-84.32;-19.18;-20.48;3,200,16;998.00;170.00;-78.84;-9.97;-13.38;
   Comunidad Valenciana;407.89;949.00;80.00;-71.22;-14.91;-23.29;2,027,17;987.00;99.00;-69.79;-2.10;-8.95;
   Madrid (Comunidad de);82.19;1,352,00;253.00;-89.14;-3.12;-8.94;2,063,99;1,343,00;235.00;-69.85;-1.22;-11.99;
   Resto CCAA;274.17;632.00;83.00;-70.31;-15.06;-15.58;1,402,36;725.00;102.00;-68.55;-7.78;-13.38;
2020M07;;;;;;;;;;;;;
   TOTAL;2,457,94;997.00;124.00;-79.42;-17.55;-22.46;14,322,16;1,083,00;144.00;-72.56;-0.42;-7.87;
   Andalucia;351.66;978.00;110.00;-74.89;-12.29;-18.41;2,031,77;1,067,00;116.00;-70.57;6.36;-3.82;
   Illes Balears;639.49;1,087,00;143.00;-77.84;-11.72;-16.38;1,056,37;1,034,00;141.00;-87.26;-1.70;-13.40;
   Canarias;276.02;1,280,00;136.00;-81.45;-11.25;-15.84;3,739,66;1,268,00;152.00;-61.59;-0.56;2.34;
   Cataluña;428.00;980.00;141.00;-85.68;-22.06;-29.28;2,765,09;1,006,00;176.00;-77.60;-8.09;-12.68;
   Comunidad Valenciana;380.29;993.00;95.00;-72.09;-9.41;-12.78;1,619,28;997.00;105.00;-69.41;1.45;-4.27;
   Madrid (Comunidad de);114.04;1,495,00;233.00;-88.18;-2.94;-14.14;1,981,80;1,342,00;234.00;-67.45;-0.93;-11.83;
   Resto CCAA;268.45;663.00;105.00;-68.44;-22.56;-13.80;1,128,19;752.00;108.00;-68.09;-5.77;-13.01;
2020M06;;;;;;;;;;;;;
   TOTAL;133.89;655.00;109.00;-98.62;-40.22;-33.31;11,864,22;1,102,00;149.00;-70.53;4.42;-4.04;
   Andalucia;9.93;709.00;121.00;-99.20;-28.88;-4.84;1,680,10;1,088,00;118.00;-69.47;11.19;-0.09;
   Illes Balears;27.65;974.00;124.00;-98.71;-6.31;-21.72;416.88;962.00;139.00;-92.29;-1.42;-12.71;
   Canarias;3.80;1,346,00;135.00;-99.67;10.27;-9.44;3,463,64;1,267,00;153.00;-58.01;1.45;4.86;
   Cataluña;38.86;506.00;105.00;-98.45;-56.19;-51.73;2,337,09;1,011,00;185.00;-75.02;-3.82;-8.86;
